NCT number,label_M,IPD Description,label_IPD
NCT01095354,1,4c43467a8a757dc5c202b07476b6f1e9d05e9b9b5bab16ed3d5ba99119f9593f,0
NCT04239209,0,6ac38a39cbfb24e1e69c0398946bda84b642b1dcebccbd1e8935aabd1eb9303a,0
NCT03213509,0,169a391761cbcf1924b1b91e0b89fb98725cddfe6b4d6c71156de6d51b8fec57,0
NCT02161965,0,2e4a904cae71be312459ac04801b79301d11e4f3df8759afcd25383d54544238,0
NCT03126825,2,44ffff1c8893ce5ae9e7d69d828ff53f0293c30de0ca299d817bfba2b32a3a0b,2
NCT03258853,0,64cd95a6c7d25718ee2ec03fc52bb2f34f353251449c15510cd3347bfeb62e72,0
NCT04332419,2,b47062bc1054f6af190fe46cde7dc21b8c74cba24ba4aeca3989be43ba3081a1,2
NCT03663569,0,59d408e223421431434e8bd26a3441595e2d6c56a2091bf7bfff51b59930a7af,1
NCT04276324,0,8b74b2f40a92a6a9ba79ae08b640ad21d13b504d6bd374b42dfe19125b3ca7bc,0
NCT03353116,0,65a7344f4d86fe8e5db56120209386d18a4978151a964bc9e59fa3b8ec5972a5,2
NCT04661969,1,433ffb149ae873c969c9ed90b50e614f03a090815c57cbb8c28a127dbc5a8443,1
NCT03375099,0,90c1b27c9b72c9c000eb15172b93cbc135ff1ff7b74c436574f315f8f4266c3d,2
NCT04525664,0,68d3494c09a0bf2c77f1b697ed8d4a27170b154e2335eef9b7cc8ede3037baf3,0
NCT03503084,0,734ff53ad209e60623b2beb5a15f6f9cba1a609dc8d7f8caec83b1ac9cd0cf52,2
NCT03422718,1,1988b41389fc85d285c0b3e870440f71444216965b3c095251e377bfb58a8bd7,1
NCT05462327,1,f4e58ea572afc93b5d17cbeb2f4ae9d87339f4c468a309a65837e6911c03298c,1
NCT05815056,1,77b2c6c3a4bbc406e0b5ef9375eda6042d3ad939f8ce2130042060f96a60351a,0
NCT05246709,1,797fa8f71259ac8becbe00a5e4cddaf7acf4a2c112a470482d38978c51310c1f,0
NCT00640081,1,3f662004cb4676be8aa8eae1a6a2328aeb693df48ceebb81f492e6b34872f4e7,0
NCT04302467,1,80b49f49be3f6429cc5f26358fe16be7ff347243bed0a3729b0a6d9e57c8f252,2
NCT04812223,2,6855ab636ab02c068c50df3522f507c86e59c4f365c362edf989ea002b07e0ff,2
NCT03839979,2,7f889d8b6d62c4b77693d5b6d3d6317982b2b0e02707f0b92e866979addc68af,2
NCT04184219,0,e206454f7d44d3865a6b13fafe1fa3b3aa59a796a8b8f7cd55d7165e0cd8a49f,0
NCT01142674,0,64bde3c2d6f82690295b495d3f6cfca0e08289c5c60f9758f37082a16783b5bb,0
NCT03222180,0,a6229122933db17414685bd17d90315821563cae6c7aaa99e88685c3148aa397,0
NCT02539771,1,abd726f927b4ad762e16f8a8beb329f2f871b7dd2c3d5090893029f4bd5fa9dc,2
NCT03926390,1,6456f1936e999d9c54bc7b369a520dc6133959b8d95e9e4a9a4b4f5d2efa112b,2
NCT02723448,0,00914b15fab5a083d2eb65383b74d42757fb361739bfc266bbe75409073ac825,0
NCT04793451,0,faf4d8882396586baacb29c994e5cb68990f794d30431c042493c2bef5e00eee,2
NCT03027310,0,8d4930109b69e2669d5ba459e75cde64b57a22628f0c4c52feb692f2572fe8ba,0
NCT05337163,1,db67db64201a067491580d9ac219e525ea4572cde913d94c47759f613f3becda,1
NCT04825665,1,0101cd39c3e6a35a144e395ed0deb528c1d58f97d94a184c76021bda094b1126,0
NCT03049449,0,638fdae376ef60c4a5e1d096307d37b62702ca582037fc7f1788d949aaa56a1d,0
NCT04041999,0,46c23512391b4293696368e6e02615002911d38b5b0befb3dae45acba19eccf0,0
NCT04493580,2,563537abaf4a8a9f3e88e3a252228cc757ade09bd30c3ade8076d538adb8d559,2
NCT04998903,0,57e7932cf95b7014590a55b290473db39d4156b57efc1c086181541415ebc05c,2
NCT04357327,0,6b6188772de627bb50454d68be8aadae225b8c5e59fdbd049066ecb264c1522d,0
NCT05090475,0,0f66e06bfb5ded9c06d77996d80d2fc34a7874479349791ae2f35fbacade2881,0
NCT04917549,0,1f3babc841c94526eea5079d6456c263959364501460d47acb0fa80c9e1c59c5,2
NCT06047418,1,ef8725a7bce049b8fb54398625028349dba15f05294d513bc555024f332039ed,1
NCT04113785,1,81f8ec8e296e777699ee4e8c788f24e504a5cd261d0a2c2f38a2166977afb7cc,2
NCT03972280,0,5c8712b1a2674e3838c9133c94a5c6889b516924490f3125e20536fd7db8cd51,0
NCT00197067,0,f6ddc427db2c9c8dfb308edd05625b3c5ee54b1414d4a923845933c9913de4c7,0
NCT04649814,1,81617f189dc54ad9203929b951ad02ac0e20295150d92f01597d5cbc513dec18,0
NCT05087108,0,6e84f0c4e97255a0ab27ae2ef130b8286f8e918aae6a74baa44d6ceeef4e904e,0
NCT05448924,0,b249dacd1b1817b291dd92abe1c38c41853d707eca3ffc254447c8f6108e3035,1
NCT03856502,1,f1ba79efe6b7a7e17427ad57316fecbc7230f416970faf96a7ef72ef856b1e3a,2
NCT02779504,2,d50d4a7430222b1a233269cfcc7d51e0a1a7c66ab1f3d07c1d8f96b6cf25ecf3,2
NCT05716711,1,98a424bd46dac08057d41e64f8051b5122e42d57df23f2e6c9cea2ef9d15f700,0
NCT05425875,1,480c14d55c2e7f1cec4b7bea72575fe7bb2406c426244f90c1c1d68a0c87bb7f,1
NCT00119834,2,e4187acbc8774c59d9e18ca2ed82b313aa42ae213595c54fe63f1c9e90b5fae7,0
NCT04489901,1,9d7908026044b32a5d1c1a8f0c885dd3b8c11ef449e8421539520fb306b9e34c,0
NCT01554618,0,0c8a9b0eb9eb9384ae6ac3c0c24b6fe9096abb99cee2c1500749158656a5388f,0
NCT02870140,2,aab746f0e1fb78b5f63866cef5c136e70a3e12d76d1c706b2fa1e0c5bf951dae,1
NCT02843529,1,6dfb64ab9c70f862db8a4ed63c711929870335845fa492bbf26b922cc42f01da,1
NCT03720093,0,db45300cb26fecd4f56b027242052e6481af12907414eff0ebc36dbe95546586,1
NCT02172625,0,5337830ccb33dd759c39be203ea4e7e842c765337b1952323ac411cbb240e10b,0
NCT05673473,1,ee66f27f8190d8ba31c9a902c89bca069dd7cc74654b77fece73493e286df67e,2
NCT03901456,0,cb4e88404f08ffeac5cbd700d8016ee528349500296262c10e0ce367b1bffaa2,2
NCT04085575,1,85f4bc1d5a64aa980247adb115694ce36d3934617749de75a129485b460c4fc8,2
NCT04921228,0,bc993d33b9ef9e51752f416176bdf1f0ef4ad6025d88b2f3e86c33161439f29e,0
NCT03554421,1,dbd94eba97ab710981c12bbe2dd04449dbb18756f5305653c243a3a3eedb00c8,2
NCT04002102,1,90f2d3c9423549730a7fe50d905518f0c2eaa232420c09a31e48066dfc9174ab,0
NCT03577379,2,c49a8acc124824470b306628609966dc7dcae070b8cc28977ee776b86511977b,2
NCT02359084,0,39ac79407df4339ab8beebe057d3e9a3f340f1b5fa7e6396fcdcb3e728164814,0
NCT03468049,1,920e4c69ddf3b3c5d2edf76e7d3f2d8f35db5a0dfb5a76e440f5a6d90f1c224c,1
NCT05011409,1,453876a9617c955fe74ea1ad8d0a7291489333a204cc3df3f4ecc1c049e9fcab,1
NCT02839512,1,b4dd337fcabd3ae42d152ac7b33118ea62487c2411ca0e4d7509799cbfb59a07,2
NCT03794908,0,5c3556eef3fc547e70c4c1e8ff74706877aa640927e2bd7bcb1616fd21c0f638,0
NCT05324176,0,c3f17713012ed4113b0161e051a7b8d7d931e8683ae4ea7769b2c1c39a3774b2,0
NCT03156699,2,9cb36df157fdc515100ad00db47bd43b4481961862703536ad7b0950e6099788,2
NCT03418896,0,501452431e27f35da504c3e8e443039f07777b5d12a7d41c65dfa58dca8e8726,1
NCT05630391,0,a7831d329b159708baf17f9c2374e3b21bfcea6f661f23016207cab19cd08133,2
NCT02730754,0,6bd9988c0c66858f08d24e888eb98df66de04a224730d4615f12ef786ad83fc5,0
NCT05871281,2,fd7fb831af95367613dca768687123da12958510721e4853ceceebf793e3e039,2
NCT04277533,0,f5132b21d0e3539e0b1a9957625029ad87a599f8939f14698b1e9ad29ac53b6e,2
NCT04517006,0,99a01a38a835069fd5212fa216dce77a801a3120e7f2488797ab34db4ced2a4e,0
NCT04796155,0,8a0040fdcb8c89ec96230da64d7254c4be169c2dabf7ca23bfe909d6849594e1,1
NCT05136742,1,96505a01e6086fa123269aed6cc905f1e11221f50692966f678b84c12deff490,0
NCT04121871,2,7f76e1c684f5330e60d16791515086b652c7effd7c76c9c86b88fc79145f874d,2
NCT02983786,2,faa7955b9c1e6868147df1f2633e5796bf0e56fb532786be82ec3f4e0412befd,2
NCT01263379,1,1446663429784df097a2f01a34d7d387d87b2e35a3536fa9775f7cb22320dfb1,0
NCT04647305,2,1ed1335e01e78e04c20da25b26e561a50160678a342a122b47848355745c4030,0
NCT05372848,0,bfe4ef8813a7063dad75d03700c053ff0ddd0ade2bed47161ccc9ea20d56ef15,0
NCT03627780,0,5777813e9dca0823284470befc436a01c1e761472724f79527aed315cb54a023,1
NCT03269240,0,458ce1e754a1beeb367bf93da29d52ddf9069740c1cd0e34d88418b6d38b39be,1
NCT01878006,2,15c5251909535ee337b077e639a4743528e3cb60b1346777606bb64a75f59dea,1
NCT03275142,1,70bb648760b459fd2351af08cfe5eb195232546dac47394a3b87d92ddc7fff60,2
NCT02913664,0,d0ff7c32ffb9cbfa09d45f5865de0a0df0bcb8573cc5d8645b8ffa2338b2d610,0
NCT04213482,0,aa4a0cd72f862f5775c9176eb89cfdeeb2544a3b21ac68f4a229a1a67a34dd3d,1
NCT03404297,2,54e91fc7a411d258899c3ef8edc5f5a7a7383d698331506cd1640bc19c34d888,2
NCT02228408,0,83c20803635bab634883dfd254fc72ade9cae00364d831dc904a32c752e64bc8,0
NCT04081610,0,57ff06e5aef7ee4d785ae3e7adc6b7559a5d3bb2399360af7708144eed10b494,2
NCT02714868,2,f3f743e73870f070f9093f106b16ce318ff5b0a9b87ae515cf96d24f6867571d,2
NCT04095000,0,7e412fcddff8246909c170b7c94487012360cb26f1a8915c245670face025040,2
NCT04907110,0,2f52de1e6271e3fd559f6df8af441f9b17947da5e26176fbbb2875b903fafcf8,2
NCT02905448,0,e2a15b4de15f9adae5469f85b9ba8ebc3b51e9af3d79183d4ab1dfa84ecb5d5c,0
NCT05138523,0,44d261bce24db7fd51914fbdd6927f94d28b1312683506171cc40b81e032fd17,1
NCT01788657,1,3b582a17e8457afd8ce1d6166f4a741112596f32e6b2fc6d18d5682ff4f204f4,0
NCT03988400,0,4080c32c909d1ed81d509957ae90adf7c0df3e51e529c2ca20bd0899eb045017,0
NCT04920292,2,67ac49ccd339e6c974354e97d14bf0e36052f0f27df98bd5b3ac770a21f15bf8,1
NCT03533426,2,276d4684186b771730f507a046f80854397471c1b9e48f457ba6071352249ede,2
NCT05467618,1,89c47437fce2a606c07b70321158c5fbcdb865bd7d1b156028eba54009d01f13,2
NCT03620513,0,b116702242fac94ed47b701db8576172fc74f5b2b135bd27304e9767087c53fa,0
NCT04091659,0,738f392b9b7348dd3df183d0baef5da85dff578cb394ded4ab2fbb37381944b7,0
NCT04957134,1,9972b85cd2360123795288a1283175f2b8eb2ed8233a2b0bd5f66968cb76908c,2
NCT04117750,1,ec289df695704eb8ed52177fbde9451ec705bb0bf380c4e22ec337f89b44e1f9,0
NCT04640376,1,cdb5e210499d88ecf4c235cfe33955dc1839559231ec9933b0a9290412d6d774,2
NCT04179266,0,1967525692f2c71f26cafde58cb214fee8b6f7b8e9578ab31533c7656b814c6f,2
NCT04666311,0,a4bdeb8b8963ccd181150e13ac919f394c38fa83cf9d155222635b2d2f5f7782,0
NCT05327764,2,e0e09294486f5d9dfd6602daa10007b2e12a10dd67b59dfbd3644d77eb40d9c1,2
NCT05194722,2,ce207ccdf32ec25d0cd66192a2e6a2236c7d14ed67989eb44aeb1d18b4226b44,2
NCT05993468,0,ca532c03db3a1f26370f872204014f51148f391219a3d439fbc9b9b111018e89,0
NCT02855229,0,39b9d005568a8ea30680f5c87d936b8bddc2d1918f64ceeb6360e0d5d9eab6c7,0
NCT03566056,1,bc5cf23e619230503ccf1af1a22e95b7814a25e00b75be3f01ea24c3dc002e12,1
NCT02463877,0,928eedbe28778d6f0697692e20b55c54d65b09660434e3c7178352ca00f0205d,0
NCT03405766,2,f707643218c9ca891711c970d3022d6a2c3dbecd0e57307e1e09a5c6ff81511d,2
NCT03226119,0,25e863f69628e4fb0b6d986033e75182cbdc452654a7aaa3d6f0b0d92a5d526a,0
NCT02804425,0,8641fd70fae6a9c3dc4d3d2ca7acd17fb8a8ed404279d5c5eca1fea5c18ece21,0
NCT05339191,2,e0fdb5fe905c4156adefde649644dbfa052bce6ba06c2ec39c4b16d627c700ae,2
NCT04784962,0,3a270c9e63faa5a70f59db413afac85716a4e438ab3c38547b2708be7581b1bc,0
NCT05956808,2,b0835b272c2a0d7325944152f69e1a3b21a23462cf9da579340339a73238b2dd,2
NCT03101514,1,1d4d99c5e8a3b3350f16af3f1a4f29b729f6e2d2193b2791c5230e97093f4740,2
NCT04630509,1,2c7219d7203354fa16c573dcd80f4d19be0478ead0a665688a4617e47d04a26c,2
NCT02940951,0,c573d578f1b56f2b9d97e4d735abb42092fd45849aeaac85162dd0c2f29d39fb,0
NCT00886535,1,ca9180da093052ff03d7d91690951513fc8ceb940e46c4fdb81d322bc381c4a9,1
NCT03126370,2,3aaae926844519491b72da992a91336e781f6b554e23ecf400cabdbdb04bceef,2
NCT04585568,0,394aef1445c6807c5973f5af6ba85714aaa0400602d732f13dcdb3fa9b26bbbe,0
NCT03280849,1,3a5abb29544781c3a72e35f634f72a49d8cb64e7b4708087f44d1fb0477faea3,2
NCT03344913,2,019fa797e20101861c9c228803f6ec3101f42a03ad63f623dc115d878684cf15,2
NCT04756128,2,58a21fc18a3e9de3f4e339eb58da8f4830ff781fc3bbbaab234eb406365e325a,2
NCT03141931,0,e2a1eef47b8d4192b90cbb737050977cefeeee2085413651c1f3f7fc97e0e1b7,2
NCT03406559,1,d74c4a3db27036c5dff9001c0925b13426f559bcaa0a3dde2ec57d0c85cad28a,1
NCT03894943,0,9af55c69c99c51f7ac7f9bcda604e580f36cbfabd5f12f99eec6b5b15660d47b,0
NCT04236193,1,63055b16a7250025a8b445feaec5c481b9056b7b96615a3cc722d8fbe9ae7b71,1
NCT04010695,2,11a6f744ec7489bc8329618da49325b3f68e99d2aabda67c3ae32cae5f1ca79c,2
NCT02341950,2,9c911fd5a698573d6acd8b63b6162888ab9eeb96822b742ad3efaf31fe2461e7,2
NCT03719469,1,fb1df7ea8f61d61937c970714d13d5c5ee5b27e2151b2a9b52eebf7a56393ce9,1
NCT04694131,1,197540187349031d44cc6aa6862b8a39c085aafc1eb3b92360b512f27a48b5e2,1
NCT04042519,1,69adafd629610eed47822cfbaf43a222a81603637f6af6ed6abaab340bcc890d,0
NCT05276245,0,66112dc7cce3528e15f2382b423dbe9d350f420a67d8e7b1492a4d21847b0683,2
NCT01816893,2,cb22e4947ba6eefde4ea63d4528c5e5235e6bfb8278b5c081b156e4045d7e0e9,2
NCT01642836,0,598096019934bff0db0914e6703fa1491b13fdc1f8df826f4f160ebe00a438ee,0
NCT02563717,0,cc29b9d64c1490c06d23e7fde8a3ad0debd7705a589eacc3ec5ed204f2c8f46c,1
NCT04174144,1,96394bdab932aebe7022ea242d1e60671bb622a2d38246571e80ba04a56bad15,0
NCT04078724,1,dfe8e9711313a6cea8ebdc65efe727f2a85ca3255075823056df73d00145a879,2
NCT04184947,2,f25ad9fd5f4ea4362ef6b0dd8e2e12a4cf4015a04dd0190e7dceaa44f98143de,2
NCT04903964,1,f5742971b13bd6d47d98159ff30efcaf48a113e30fbcc2d0106bfe216f5af424,0
NCT02936973,0,7be9e5edfef6da6d4a6df9f57c5b5caad903a062685c4ba2edcdb13ba889e5da,1
NCT03771937,1,5b3502375ea46f331bf3fab6ffdaaee4f90591d3fd645bd0103234db3e350bc9,2
NCT03015220,1,a8595a4c4274a60cc9cb2355e07ff9feb189b47d9662aa758520402c787d34bc,0
NCT04778254,1,99fea0ac7c42b4ffecc6f1b6406e8f56561a018913dbde05cc283ee6c65e2f25,1
NCT04661865,2,711823e0631c72a4fe2327b8bac0ac420ef6cbfcd5beedd58e6ad10535639588,2
NCT05011773,1,1bc8743c6c00e79e3cb983e38928fab7d717c466be59f637a06bd1c92000294b,1
NCT03433456,1,d1b958004db76aa2cce1b4a397f69a11fb4c08403dbced11804023eeacb92940,0
NCT02644291,2,1d22ef845f2c7a0a64e49b1062055b1e9c9006f27e1f6d284df4969a040c4a0e,1
NCT03526718,1,e164bc89c1b49fa1637455fde6515f5ffeedd4dee7266d1af13afba74f914e70,1
NCT05667831,0,a439e3fee62eb72f2310bd3bf82e3c92b74500f61ae1a61cfb7a2c434355d81d,2
NCT03291535,1,5a727fc3d5d3886dc9ca52b085f9d89b5eac40532dd772df6e0c0c876e4c0c6e,1
NCT04048681,2,3627950c1d9df48c8892dfba0fedf92fa83c81b373d7eed65e0523c08d8f029d,2
NCT04556760,0,9628ec43d982e61291d96ba2111adf6609f26ef43948198f7ed2e899acc06ebc,0
NCT04255511,1,1e5c88c1f843a1c3fe318f0319d562868f726dafb5f73443e61c6069ef23c5f0,0
NCT04132973,2,a10f56b3c6afa4bd83e23c59ae7bbecb9b838cf1601c213f2e9ef0c817d57f74,2
NCT04776226,0,e92b574985fe24dbdcd90081f949a57e867d8b7283a930340638783deadba1be,0
NCT03234322,0,db097506487af28e7461b51ecfa038aa784a3cb4d66d76d9cd7052a826afdf94,0
NCT03762434,1,f5c8a326a4d30ff17e5ce7756c1856563873c1898ddc6e14e3ece9a0b85c7eef,1
NCT03582072,2,3fdd2b954c183800a84452735f11c54e579ecadb6c76b57a1e517a5fbc96d93b,2
NCT04247009,0,6b6efa7df573adc40e655862d24252d41d4b4106fa15d6de63e5bfcf12d868fa,2
NCT00624234,0,6d69645234820ba0eb88b4e83829569effa796cc4e3255c643ee15af03c321a2,0
NCT03928496,0,13128cd35579251af0d9252ea37f5289df575256a780af41b86a7189ea886e63,0
NCT02780557,0,9b724953c1d9e81f527b36e011bdb89149bbc7feab2d0d921be80694dda5dc71,0
NCT05437523,2,9a2a9ce2879bf25b8b11fb5d1579bd8f4bb8e70de47edaca0fa24691b07676ad,2
NCT05896917,1,bb5450d1cbecb3942347971f0f6414f85b9805cecaa88f4659446a80060d5878,0
NCT03022799,1,6dd2d3bbd5e15d1d864f5d3728533ba09c0187d80cd8262c1b06e9eb62070081,1
NCT02676154,0,adbc1a72884f9ef8b2a650a1e4fa5767f2e68fadab6cf849b94ae45fd8a6bc70,2
NCT00451191,0,185208bcb56c3d6d6b8eba1f1aba5f333c946dddb7b9c522fd8cb32360a03844,0
NCT04061993,0,2d9e5d18028359d5d767bd6b49af888938f7da9ac726db665a757e3658e2e7c6,0
NCT03821740,2,d1ef21dd645033a98a3a02df13887565ebf61cf06f20b8dcc3144cb09722775e,2
NCT03312270,2,c5b010452fdb0b85fb11984987292b18ae8f42c213056cc8eb1f22dfe1f873e1,2
NCT02901080,0,db61696d4fe78b8495adbe9b800bd55c6651519cbe4479fb9f65dde5c3b14d39,2
NCT00121108,0,8368637995ded2ab5d820080d9ac4d79570279cfc86f9b86ea49ab60137d6426,0
NCT03925454,2,cce7ce8e60fe5a532920492dbbb14c6d4aea996555f19072a2310712e2824034,2
NCT04080102,0,fe0297ff5e17f1d2bd737eb63d2c41bbbf97a2ffe24963ca34a9dfd8a30c864d,0
NCT03697941,2,4b769fee3b013c257c08ce839e975c21fdf08b0170553c64a0e2884270a38c5c,2
NCT04764877,0,cdb97343e7db0bbca13ab77e6e9c1d7fc8cad357289c1b15b2065252d03f740d,0
NCT05054686,2,95722a0e3607a8c50d23205609e393f573c09d0873dd9dab88f51ee6c9094856,2
NCT02759939,0,df8b305cad386dc14b8cc503ae2466d27c5bdf7e7acb010559b9df1b23dcb125,0
NCT04383457,1,353fc019fde75a7de3c50876bcc7f3e8a5cce2fd048d6e3c8e59ff4ef7753a3e,0
NCT03397589,0,db782ce6711a27be0d3006e2c8ea7acc874d25461e5bd7a05714665b01964627,0
NCT04016480,0,04d364463bea17051ae72504af2d0b552d154e8843a09f3e8c0540142ec9e21c,0
NCT03668535,0,f01e8229339d0087cd61349af9a9f68e41df0cc4cddcaefdc04ed6a5b27f7fe1,0
NCT03855605,2,aafb513f922d4ed1a34eb8facebdd0143c9a86ecccc94afed89afa8bfc5f880e,2
NCT04140058,2,bd8b7a84750791e55c81b7b50e0afc2eabce67496ff47b12ce0283f0cbac175d,2
NCT01756508,0,8b319966e88c750e2020284bef90b8ab5393862151f92afc012a41d6fe65fc89,0
NCT05932901,0,1087f064c0469990699529c30ff7ec5668de930dd1d669328e3845614a34d639,0
NCT04957589,2,540dd08bb2679c18d96daeba568bdd43b6db362843495fb5e52828f9e7e0b421,2
NCT04585919,0,8d14a64a4213f376dcafe79035e728e6722e856a1461275d0a03c401589cfff3,0
NCT04358991,0,3261fdc2e546bc786a50c3d606d687dca09fd7a65723b837c277742de02610be,0
NCT03940105,0,63d33a11bde1e2d47fc17a2f61e1ff3b62dc090e35ea2063e1cfb8f1ef5771d4,0
NCT05686863,0,eacab2d15a0419b21a1a12b88627d0138c95dfb7156d5290095d18c3448b563b,2
NCT04507087,0,d21cac3764cec0ded2436dbc309880d6a13cb8f542cd2762701ff52977207ea2,0
NCT03548714,0,5387f04067835dcd354be4a5038af5377d4a1227898b6bc4a67802a2a21caa65,0
NCT03334773,0,5ff759d4d2085dff5a1cb95d18eadaad0d578dcc94a7bfe62f534cb9ac05b48f,1
NCT04483518,1,956891e706e8ad04ab980ddb8667e34c408e50dc4df7148cd4c61287e9d51e59,2
NCT04967846,2,19c21e74904da79dfba0fe2bebd3106ad574ada082219b5871d78d06585e9378,2
NCT04679051,0,ba65690697411cf84b8ad0ce2cf2127cde8baae5db29ee932932de30a43fdf20,0
NCT04200339,0,9a0925552ba4b4aa5aacb911d11ec7cce7bb4c01c5b8427d0b1c1e7943fcbe65,0
NCT04844099,0,de058a44ea7e45dcb433f069467292c8e56ad65120f07d42d7714e7325a07c76,0
NCT02716584,0,a0060aa14c5ccae493a2b88d4c9cf02db80b93db84ef5430e41ef696b8b7cffb,0
NCT05563116,0,759647b6d254d7e0362d438047272777b4fe8cca27df1f2fffaed57b261080ae,1
NCT04277182,0,64984b8cffd4cc2293563ab90575f2859707656876fe1ae48043bce5b5b3ddaa,2
NCT04594876,1,3f9b463e7aa0b8ebc8474d7de8c5aff9f9a7f3bf0a8577e953e621eefdf2f459,2
NCT04336280,0,60b38d2b781673c68452d010f503b0c9f65a13f00316829abb7dad6a7d79cc72,1
NCT03630887,0,48465ab4d702974a61fa2cb07c8f0ba3d29d56d096b8dd7d0a424b2e27aa4389,1
NCT05811286,2,e87881f7254b0b8e88b0f1e0b4edfb795f9d07c324295e2f8b0c8b145f1019fd,2
NCT02613338,1,9017dc69b5bfc5057f9ecc06624148690c232669572f80c2b2aeafb789c9b07d,2
NCT02716324,0,16fdca7e5de63a587c31258450c0de30df99b6bd1e36ee52fa8ce8d712a5e197,0
NCT05116696,1,0b45ce50d2777274b21ca99a68e44a2bc5ad3372c2ffc4e59d9d230a412a5c08,1
NCT04010318,0,6fc58b87a9e15ab043e0e7e37101709b63d4241e151c6302f6540de7f11d5ed3,1
NCT05829707,0,9e5d1f25815ff7c1ba16e81a98252e2d7853793cf7118232bcce07685a97805a,2
NCT04337164,1,552bc6ea6472e82d9485003a99044487bc6a98290c7ba981d5db65005e05b9c1,1
NCT03423966,2,5295b6d96f43948d1c0bcad32c6a062c694648a108f6022d7fc8624126191378,2
NCT00221338,1,b32bd4b2a74aa123fb15bfe3514e5c070e1c84328029776ec8895fd62aa0cb29,1
NCT05500287,2,87308f6545a991d74ace0c471b7a30f05bd45654db760f29741be4963f38e4ea,2
NCT03515070,1,2cd4e707b702308f30d407755f5b8144eb4ab536f919807ef3cb7290a0798596,1
NCT04186780,0,f1d6ca9cc1bb5d288305b7d3b30a95fe8267a892074b21dbc718b3e77eb3d76c,0
NCT03040921,2,b35d7a97db6463700f622b9e69b99ae552fca2735c32c9e1f2ab62f176c06d63,2
NCT03093610,2,310b0ea367045f072e7e8be76a7bb062e8d44bcf5b666a044cbc6e25fd3ed3f8,2
NCT04919148,0,47a8ca79e9ce0f2394e780a4a58444bf8edf28ed18f1f1c59931e7e0212f24b8,1
NCT02081573,1,fd5edd1c0d0470402db4745d9b62613532c140d97d9ff95536804cef76a53da7,2
NCT04279093,0,773fc2686d5757762e24d5d0c1169468053c2134642935db48a8d2c641e9a769,1
NCT05640648,1,436b999dff957081602d737356820ad2e4ac4d34276910fcc83ca855b4774ba8,0
NCT03999372,1,b2302d090f8a1a320ec546115c7fbbc4e40729b068e59c51f12b35e1011e373f,2
